"分类","法规名称","文号/标准号","条款号","条文内容","关键词","官方来源URL","发布机关","施行日期","现行状态","备注"
"工贸行业安全","中华人民共和国安全生产法","主席令第八十八号","第四十一条","生产经营单位应当建立安全风险分级管控制度，按照安全风险分级采取相应的管控措施。生产经营单位应当建立健全并落实生产安全事故隐患排查治理制度，采取技术、管理措施，及时发现并消除事故隐患。","安全风险,隐患排查治理,事故隐患","https://www.gov.cn/xinwen/2021-06/11/content_5616919.htm","全国人民代表大会常务委员会","2021-09-01","现行有效","演示种子：通用安全生产管理条款"
"消防安全","中华人民共和国消防法","主席令第二十九号","第二十八条","任何单位、个人不得损坏、挪用或者擅自拆除、停用消防设施、器材，不得埋压、圈占、遮挡消火栓或者占用防火间距，不得占用、堵塞、封闭疏散通道、安全出口、消防车通道。","消防设施,消火栓,疏散通道,安全出口,消防车通道","https://www.gov.cn/guoqing/2021-10/29/content_5647616.htm","全国人民代表大会常务委员会","2021-04-29","现行有效","演示种子：消防通道和消防设施场景"
"工贸行业安全","工贸企业重大事故隐患判定标准","应急管理部令第10号","第三条","工贸企业有下列情形之一的，应当判定为重大事故隐患：未对承包单位、承租单位的安全生产工作统一协调、管理，或者未定期进行安全检查的。","工贸企业,重大事故隐患,承包单位,安全检查","https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/202305/t20230515_449872.shtml","应急管理部","2023-05-15","现行有效","演示种子：工贸重大事故隐患判定"
"职业健康与劳动安全","中华人民共和国安全生产法","主席令第八十八号","第四十五条","生产经营单位必须为从业人员提供符合国家标准或者行业标准的劳动防护用品，并监督、教育从业人员按照使用规则佩戴、使用。","劳动防护用品,安全帽,防护用品,佩戴使用","https://www.gov.cn/xinwen/2021-06/11/content_5616919.htm","全国人民代表大会常务委员会","2021-09-01","现行有效","演示种子：安全帽和劳动防护用品场景"
